tm;season;avg_pts;avg_trb;avg_ast;total_games;distinct_players;season_year
NYA;1972;592.25.00;259.6875;115.125;752;16;1972
NYA;1973;580.00.00;255.06.00;126.06.00;789;15;1973
NYA;1974;574.25.00;256.625;126.5625;758;16;1974
NYA;1975;777.3333333333334;332.05.00;167.25.00;803;12;1975
NYA;1976;670.7142857142857;303.07142857142856;129.78571428571428;841;14;1976
NYK;1947;194.05.00;;0,975694444;658;20;1947
NYK;1948;275.2307692307692;;28.923076923076923;460;13;1948
NYK;1949;297.00.00;;63.5625;621;16;1949
NYK;1950;422.15384615384613;;100.61538461538461;681;13;1950
NYK;1951;435.84615384615387;241.30769230769232;119.3076923076923;635;13;1951
NYK;1952;509.90909090909093;303.6363636363636;142.45454545454547;608;11;1952
NYK;1953;427.05.00;252.92857142857142;112.05.00;605;14;1953
NYK;1954;437.53846153846155;261.0769230769231;113.00.00;649;13;1954
NYK;1955;416.875;246.1875;108.9375;664;16;1955
NYK;1956;554.7692307692307;307.6923076923077;123.84615384615384;706;13;1956
NYK;1957;518.0714285714286;298.85714285714283;93.71428571428571;706;14;1957
NYK;1958;576.2857142857143;333.35714285714283;97.07142857142857;669;14;1958
NYK;1959;567.2142857142857;302.42857142857144;98.85714285714286;710;14;1959
NYK;1960;550.00.00;307.875;105.125;722;16;1960
NYK;1961;561.1875;299.1875;113.875;780;16;1961
NYK;1962;612.4666666666667;309.1333333333333;117.66666666666667;783;15;1962
NYK;1963;552.3125;262.375;103.625;794;16;1963
NYK;1964;498.6666666666667;249.72222222222223;86.83333333333333;822;18;1964
NYK;1965;613.7857142857143;323.7142857142857;110.71428571428571;825;14;1965
NYK;1966;718.0769230769231;339.3076923076923;145.84615384615384;744;13;1966
NYK;1967;725.00.00;349.0769230769231;137.07692307692307;736;13;1967
NYK;1968;680.2142857142857;314.7857142857143;140.05.00;871;14;1968
NYK;1969;699.00.00;326.61538461538464;159.30769230769232;756;13;1969
NYK;1970;785.5833333333334;333.8333333333333;177.91666666666666;825;12;1970
NYK;1971;694.3076923076923;313.46153846153845;136.84615384615384;815;13;1971
NYK;1972;516.7647058823529;229.94117647058823;116.76470588235294;826;17;1972
NYK;1973;615.00.00;277.2857142857143;156.21428571428572;798;14;1973
NYK;1974;488.5882352941176;216.7058823529412;113.94117647058823;802;17;1974
NYK;1975;514.75;227.0625;104.6875;821;16;1975
NYK;1976;561.02.00;249.66666666666666;110.66666666666667;821;15;1976
NYK;1977;556.5625;228.375;122.25.00;855;16;1977
NYK;1978;775.00.00;322.4166666666667;194.83333333333334;841;12;1978
NYK;1979;551.875;226.875;132.5625;807;16;1979
NYK;1980;718.7692307692307;272.2307692307692;174.23076923076923;845;13;1980
NYK;1981;804.4545454545455;303.8181818181818;179.63636363636363;811;11;1981
NYK;1982;580.4666666666667;229.04.00;138.33333333333334;852;15;1982
NYK;1983;585.5714285714286;238.78571428571428;145.28571428571428;854;14;1983
NYK;1984;674.0769230769231;255.23076923076923;157.00.00;854;13;1984
NYK;1985;663.6153846153846;247.53846153846155;153.76923076923077;831;13;1985
NYK;1986;505.875;203.1875;117.3125;822;16;1986
NYK;1987;472.6666666666667;181.66666666666666;107.83333333333333;806;18;1987
NYK;1988;432.75;174.00.00;100.06.00;883;20;1988
NYK;1989;735.9230769230769;275.9230769230769;160.23076923076923;879;13;1989
NYK;1990;591.9333333333333;240.86666666666667;142.66666666666666;806;15;1990
NYK;1991;603.9285714285714;249.21428571428572;155.14285714285714;856;14;1991
NYK;1992;555.02.00;244.93333333333334;142.00.00;803;15;1992
NYK;1993;640.6153846153846;293.0769230769231;163.46153846153845;800;13;1993
NYK;1994;504.75;232.3125;129.1875;797;16;1994
NYK;1995;503.375;212.625;128.4375;769;16;1995
NYK;1996;468.88235294117646;192.8235294117647;107.17647058823529;769;17;1996
NYK;1997;601.4615384615385;268.38461538461536;139.15384615384616;775;13;1997
NYK;1998;469.3125;213.25.00;111.6875;778;16;1998
NYK;1999;308.57142857142856;147.21428571428572;68.78571428571429;480;14;1999
NYK;2000;472.1875;207.6875;99.25.00;762;16;2000
NYK;2001;454.6875;206.0625;95.00.00;763;16;2001
NYK;2002;536.7142857142857;238.14285714285714;122.85714285714286;774;14;2002
NYK;2003;604.6153846153846;247.53846153846155;138.46153846153845;798;13;2003
NYK;2004;342.8181818181818;158.77272727272728;77.04545454545455;841;22;2004
NYK;2005;419.8421052631579;176.73684210526315;87.63157894736842;823;19;2005
NYK;2006;412.7368421052632;178.6315789473684;77.26315789473684;898;19;2006
NYK;2007;532.9333333333333;236.53333333333333;102.13333333333334;805;15;2007
NYK;2008;529.8666666666667;232.04.00;102.00.00;808;15;2008
NYK;2009;375.0869565217391;150.2608695652174;75.56521739130434;711;23;2009
NYK;2010;418.65;165.65;88.06.00;730;20;2010
NYK;2011;436.07.00;165.85;87.85;784;20;2011
NYK;2012;379.88235294117646;162.05882352941177;78.11764705882354;664;17;2012
NYK;2013;431.36842105263156;175.05263157894737;83.10526315789474;855;19;2013
NYK;2014;449.1111111111111;183.72222222222223;91.16666666666667;859;18;2014
NYK;2015;376.75;165.05.00;87.03.00;871;20;2015
NYK;2016;504.0625;227.375;105.125;890;16;2016
NYK;2017;534.75;231.625;111.625;897;16;2017
NYK;2018;407.9047619047619;171.95238095238096;91.04761904761905;904;21;2018
NYK;2019;372.82608695652175;159.47826086956522;71.56521739130434;851;23;2019
NYK;2020;410.7647058823529;180.52941176470588;85.6470588235294;721;17;2020
NYK;2021;405.57894736842104;171.05263157894737;81.10526315789474;758;19;2021
NYK;2022;379.60869565217394;164.43478260869566;77.95652173913044;840;23;2022
NYK;2023;559.6470588235294;224.76470588235293;110.58823529411765;820;17;2023
NYK;2024;355.7307692307692;142.46153846153845;76.84615384615384;830;26;2024
NYK;2025;410.14285714285717;151.14285714285714;97.04761904761905;748;21;2025
NYN;1977;436.94444444444446;205.77777777777777;79.00.00;740;18;1977
OAK;1968;540.125;260.25.00;71.8125;741;16;1968
OAK;1969;822.1666666666666;375.5833333333333;139.00.00;736;12;1969
OKC;1968;811.00.00;395.5833333333333;166.05.00;859;12;1968
OKC;1969;656.05.00;321.2857142857143;137.64285714285714;793;14;1969
OKC;1970;639.2666666666667;287.46666666666664;147.06.00;791;15;1970
OKC;1971;673.05.00;318.2857142857143;146.35714285714286;833;14;1971
OKC;1972;689.00.00;317.15384615384613;152.00.00;739;13;1972
OKC;1973;607.1428571428571;297.2142857142857;139.85714285714286;827;14;1973
OKC;1974;626.7142857142857;287.7857142857143;150.42857142857142;790;14;1974
OKC;1975;603.6428571428571;265.7857142857143;142.64285714285714;816;14;1975
OKC;1976;581.7333333333333;247.66666666666666;129.00.00;862;15;1976
OKC;1977;568.2666666666667;252.53333333333333;118.13333333333334;891;15;1977
OKC;1978;571.00.00;270.46666666666664;119.93333333333334;807;15;1978
OKC;1979;624.2857142857143;278.64285714285717;140.92857142857142;816;14;1979
OKC;1980;808.8181818181819;357.27272727272725;185.72727272727272;821;11;1980
OKC;1981;568.7333333333333;240.06666666666666;129.66666666666666;818;15;1981
OKC;1982;549.6875;227.9375;131.4375;857;16;1982
OKC;1983;693.7692307692307;286.2307692307692;175.23076923076923;854;13;1983
OKC;1984;633.2142857142857;242.57142857142858;159.05.00;847;14;1984
OKC;1985;558.04.00;220.04.00;145.66666666666666;835;15;1985
OKC;1986;535.25.00;212.5625;123.5625;885;16;1986
OKC;1987;621.6666666666666;251.02.00;145.06.00;874;15;1987
OKC;1988;702.6923076923077;279.00.00;165.07692307692307;944;13;1988
OKC;1989;656.8571428571429;259.64285714285717;148.78571428571428;872;14;1989
OKC;1990;584.06.00;238.53333333333333;124.93333333333334;887;15;1990
OKC;1991;546.05.00;212.1875;127.625;835;16;1991
OKC;1992;624.0714285714286;252.78571428571428;134.07142857142858;823;14;1992
OKC;1993;634.5714285714286;248.28571428571428;136.14285714285714;818;14;1993
OKC;1994;620.05.00;241.05.00;150.85714285714286;816;14;1994
OKC;1995;646.7857142857143;243.21428571428572;151.07142857142858;790;14;1995
OKC;1996;659.3846153846154;261.7692307692308;153.76923076923077;821;13;1996
OKC;1997;517.125;205.0625;120.6875;857;16;1997
OKC;1998;515.375;197.25.00;124.125;865;16;1998
OKC;1999;296.4375;131.125;67.9375;490;16;1999
OKC;2000;541.6666666666666;235.00.00;125.02.00;834;15;2000
OKC;2001;569.8571428571429;244.35714285714286;128.00.00;808;14;2001
OKC;2002;500.875;206.3125;120.375;800;16;2002
OKC;2003;444.4117647058824;196.94117647058823;104.41176470588235;776;17;2003
OKC;2004;568.8571428571429;230.35714285714286;127.28571428571429;882;14;2004
OKC;2005;540.8666666666667;223.46666666666667;99.13333333333334;818;15;2005
OKC;2006;442.6842105263158;170.8421052631579;89.26315789473684;834;19;2006
OKC;2007;508.125;203.125;105.9375;812;16;2007
OKC;2008;380.9047619047619;174.23809523809524;83.23809523809524;834;21;2008
OKC;2009;397.06.00;174.08.00;83.15.00;759;20;2009
OKC;2010;462.3333333333333;198.16666666666666;91.05555555555556;784;18;2010
OKC;2011;477.55555555555554;194.83333333333334;92.88888888888889;823;18;2011
OKC;2012;425.125;180.1875;76.05.00;715;16;2012
OKC;2013;541.8125;223.6875;109.5625;884;16;2013
OKC;2014;483.6111111111111;203.77777777777777;99.66666666666667;892;18;2014
OKC;2015;405.9047619047619;185.52380952380952;80.04761904761905;871;21;2015
OKC;2016;531.6470588235294;234.52941176470588;110.76470588235294;890;17;2016
OKC;2017;460.05263157894734;201.21052631578948;90.57894736842105;895;19;2017
OKC;2018;520.2352941176471;217.35294117647058;102.94117647058823;886;17;2018
OKC;2019;521.05.00;219.00.00;106.05.00;861;18;2019
OKC;2020;441.6666666666667;171.55555555555554;86.77777777777777;767;18;2020
OKC;2021;343.6363636363636;149.22727272727272;72.18181818181819;735;22;2021
OKC;2022;327.15384615384613;143.8846153846154;70.07692307692308;852;26;2022
OKC;2023;507.00.00;188.3684210526316;105.36842105263158;899;19;2023
OKC;2024;447.59090909090907;156.6818181818182;101.04545454545455;980;22;2024
OKC;2025;475.3157894736842;177.3684210526316;106.63157894736842;843;19;2025
ORL;1990;649.2857142857143;269.2142857142857;142.35714285714286;830;14;1990
ORL;1991;620.2857142857143;261.57142857142856;129.21428571428572;818;14;1991
ORL;1992;490.00.00;205.88235294117646;105.41176470588235;834;17;1992
ORL;1993;540.75;225.375;122.00.00;814;16;1993
ORL;1994;481.44444444444446;196.27777777777777;115.00.00;819;18;1994
ORL;1995;606.0666666666667;240.04.00;152.06666666666666;809;15;1995
ORL;1996;535.6875;210.4375;130.00.00;800;16;1996
ORL;1997;454.05882352941177;193.64705882352942;99.3529411764706;756;17;1997
ORL;1998;335.77272727272725;153.6818181818182;77.00.00;815;22;1998
ORL;1999;263.11764705882354;125.47058823529412;62.76470588235294;504;17;1999
ORL;2000;431.89473684210526;193.94736842105263;89.94736842105263;911;19;2000
ORL;2001;499.05.00;219.9375;112.6875;887;16;2001
ORL;2002;484.70588235294116;198.94117647058823;106.11764705882354;880;17;2002
ORL;2003;475.1764705882353;197.05882352941177;98.58823529411765;857;17;2003
ORL;2004;367.1904761904762;159.66666666666666;75.42857142857143;854;21;2004
ORL;2005;453.3333333333333;199.00.00;87.94444444444444;854;18;2005
ORL;2006;432.44444444444446;183.00.00;83.05555555555556;802;18;2006
ORL;2007;518.0666666666667;222.53333333333333;101.66666666666667;841;15;2007
ORL;2008;535.4375;215.3125;106.625;834;16;2008
ORL;2009;517.875;221.6875;99.5625;813;16;2009
ORL;2010;702.1666666666666;295.05.00;134.58333333333334;839;12;2010
ORL;2011;478.52941176470586;208.41176470588235;96.23529411764706;779;17;2011
